Full Name,File Name,Line No.
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_multiRes.py,94
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\batchTest_multiRes.py,99
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3.py,132
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3.py,138
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3.py,144
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss.py,188
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss.py,194
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss.py,200
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss_OverlapData.py,196
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss_OverlapData.py,202
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_MSESSIMMAEloss_OverlapData.py,208
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_test.py,132
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_test.py,138
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_10x_V3_test.py,144
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_MSESSIMMAEloss_OverlapData.py,194
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_MSESSIMMAEloss_OverlapData.py,200
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_MSESSIMMAEloss_OverlapData.py,206
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_OverlapData.py,136
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_OverlapData.py,142
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_20x_V3_OverlapData.py,148
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_5x_V3_MSESSIMMAEloss_OverlapData.py,193
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_5x_V3_MSESSIMMAEloss_OverlapData.py,199
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_5x_V3_MSESSIMMAEloss_OverlapData.py,205
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1.py,156
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1.py,162
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1.py,168
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1.py,311
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1.py,325
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1_OverlapData.py,157
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1_OverlapData.py,163
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1_OverlapData.py,169
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1_OverlapData.py,312
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_bottleneck_withoutFlatten_MultiRes_FCV1_OverlapData.py,326
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_MultiRes_FCV2_OverlapData.py,159
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_MultiRes_FCV2_OverlapData.py,165
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_MultiRes_FCV2_OverlapData.py,171
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_MultiRes_FCV2_OverlapData.py,314
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\liverImages_main_MultiRes_FCV2_OverlapData.py,328
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\oneWSI_Test.py,90
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\oneWSI_Test.py,95
jkonglab/Liver_Cancer_Segmentation,LiverCancer_Segmentation\byClassification\HistoCAE\final_codes\oneWSI_Test.py,100
jmswaney/autoencoder-registration,coreg\chungcore\ConvAutoencoder.py,43
jmswaney/autoencoder-registration,coreg\chungcore\ConvAutoencoder.py,45
jmswaney/autoencoder-registration,coreg\chungcore\ConvAutoencoder.py,47
JoaGalMor/LungSound_class,CNN.py,51
JoaGalMor/LungSound_class,CNN.py,76
JoaGalMor/LungSound_class,CNN.py,99
JonneTyo/ALSA,model.py,33
JonneTyo/ALSA,model.py,38
JonneTyo/ALSA,model.py,43
JonneTyo/ALSA,model.py,48
JonneTyo/ALSA,model.py,52
JonneTyo/ALSA,model.py,53
kabbas570/DeepLabv3-Implementation-using-Keras,DeepLabV3.py,64
kabbas570/DeepLabv3-Implementation-using-Keras,DeepLabV3.py,68
kabbas570/DeepLabv3-Implementation-using-Keras,DeepLabV3.py,71
kabbas570/DeepLabv3-Implementation-using-Keras,DeepLabV3.py,74
kabbas570/DeepLabv3-Implementation-using-Keras,DeepLabV3.py,77
Kaushalkhokhar/ocr,tools\models.py,23
Kaushalkhokhar/ocr,tools\models.py,32
Kaushalkhokhar/ocr,tools\models.py,44
Kaushalkhokhar/ocr,tools\models.py,47
Kimyuhwanpeter/2021-04-07,model_V7.py,44
Kimyuhwanpeter/2021-04-07,model_V7.py,70
Kimyuhwanpeter/2021-04-07,model_V7.py,96
klaravw/finalized_capstone,model_iter1\model.py,37
klaravw/finalized_capstone,model_iter1\model.py,42
klaravw/finalized_capstone,model_iter1\model.py,47
klaravw/finalized_capstone,model_iter1\model.py,52
klaravw/finalized_capstone,model_iter1\model.py,56
klaravw/finalized_capstone,model_iter1\model.py,57
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,69
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,80
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,91
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,102
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,112
kteavery/BirdRoostLocation,BirdRoostLocation\BuildModels\CNN\unet.py,116
lihebi/AdvAE,python\defensegan_models.py,66
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,121
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,126
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,131
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,136
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,140
lucsoret/CEI,Python\Scripts\LUNA16_UNET.py,141
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,43
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,48
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,53
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,58
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,63
luqqz/MedZoo,my_prep\models\tensorflow\unet\model.py,64
luutn2002/segmentation,project\modified_unet.py,26
luutn2002/segmentation,project\modified_unet.py,31
luutn2002/segmentation,project\modified_unet.py,36
luutn2002/segmentation,project\modified_unet.py,41
luutn2002/segmentation,project\modified_unet.py,45
luutn2002/segmentation,project\modified_unet.py,46
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\MTCNN\mtcnn.py,29
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\RPN\rpn.py,49
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\RPN\rpn.py,59
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\RPN\rpn.py,62
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\SSD\ssd.py,54
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\SSD\ssd.py,57
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\SSD\ssd.py,60
majunting/jupyter_notebook,reference\TensorFlow2.0-Examples-master\TensorFlow2.0-Examples-master\4-Object_Detection\SSD\ssd.py,63
mananm2/FLAM,utils\unet.py,31
mananm2/FLAM,utils\unet.py,36
mananm2/FLAM,utils\unet.py,41
mananm2/FLAM,utils\unet.py,46
mananm2/FLAM,utils\unet.py,50
marcelsan/DeepShading,models\shading_net.py,38
marcelsan/DeepShading,models\shading_net.py,44
marcelsan/DeepShading,models\shading_net.py,50
marcelsan/DeepShading,models\shading_net.py,55
marcelsan/DeepShading,models\shading_net.py,61
Marwaahmed96/nucli_u_net_segmentation,models.py,36
Marwaahmed96/nucli_u_net_segmentation,models.py,42
Marwaahmed96/nucli_u_net_segmentation,models.py,48
Marwaahmed96/nucli_u_net_segmentation,models.py,54
Marwaahmed96/nucli_u_net_segmentation,models.py,58
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,7
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,8
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,29
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,30
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,49
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,50
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,52
meteahishali/methods-early-cov19,compact_classifiers\crc_csen\csen\networks.py,53
mjalalimanesh/sparse-dot-deep-learning,training-and-evaluation\network_architectures.py,131
mjalalimanesh/sparse-dot-deep-learning,training-and-evaluation\network_architectures.py,169
mjalalimanesh/sparse-dot-deep-learning,training-and-evaluation\network_architectures.py,210
mr1528126360/UMLF_COVID,networks.py,25
musicbyjing/inpainting_rfi,scripts\models\models_deep.py,54
Neubias-WG5/W_NucleiSegmentation-UNet,model_builder.py,56
Neubias-WG5/W_NucleiSegmentation-UNet,model_builder.py,67
Neubias-WG5/W_NucleiSegmentation-UNet,model_builder.py,78
Nils-Treuheit/Heterogenous-Inferencing,ai_hardware_accelerators_windows.py,180
Nils-Treuheit/Heterogenous-Inferencing,ai_hardware_accelerators_windows.py,225
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,26
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,31
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,36
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,41
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,45
ogimgio/road-segmentation-ML-EPFL-2021,.ipynb_checkpoints\unet-checkpoint.py,46
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,26
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,31
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,36
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,41
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,45
ogimgio/road-segmentation-ML-EPFL-2021,unet.py,46
pecacio/Sudoku,Sudoku Segmentation and Solving\sud_model.py,159
pecacio/Sudoku,Sudoku Segmentation and Solving\sud_model.py,165
pecacio/Sudoku,Sudoku Segmentation and Solving\sud_model.py,171
pecacio/Sudoku,Sudoku Segmentation and Solving\sud_model.py,177
pecacio/Sudoku,Sudoku Segmentation and Solving\sud_model.py,181
penny4860/keras-adain-style-transfer,adain\decoder.py,43
penny4860/keras-adain-style-transfer,adain\decoder.py,50
penny4860/keras-adain-style-transfer,adain\decoder.py,57
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Resnet\model.py,23
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Resnet\model.py,26
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Resnet\model.py,44
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Resnet\model.py,62
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Robust_CNN Model\model.py,24
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Robust_CNN Model\model.py,28
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Robust_CNN Model\model.py,50
pkhorram/Optimizing-Modulation-Classification-with-Deep-Learning,Robust_CNN Model\model.py,63
QuantumForceField/ESTR3108_Face_Aging_Project,SourceCode\Generator.py,116
QuantumForceField/ESTR3108_Face_Aging_Project,SourceCode\Generator.py,131
QuantumForceField/ESTR3108_Face_Aging_Project,SourceCode\Generator.py,147
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,173
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,178
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,179
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,173
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,178
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,179
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,270
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,354
quic/aimet,TrainingExtensions\tensorflow\test\python\test_cross_layer_equalization_keras.py,355
